"firms","years","scope1_intensity","scope2_intensity","scope3_intensity","scope_1","scope_2","scope_3","energy_cons","waste","waste_recycled","water_cons","waste_water","renewable_energy_pct","waste_recycled_pct","fuel_fleet","donations","donations_pct","contrib_political","legal_spending","fines_spending","employees","employee_turnover","female_pct","female_mgmt_pct","employee_parental_pct","employee_tenure","employee_under30_pct","employee_over50_pct","training_spending"
"A","2010",228.574507935671,2094.34592080768,1695.19565255614,14.9365945439786,7.65208073193207,22.4687444511801,9579.91053466685,330579.949717503,0.469732386898249,1.66060751047917,1.62834046827629,0.326294479472563,0.203628546278924,6.73122899560258,11.2969208869617,0.0278966552927159,1.74176023644395,74.4875934906304,8.70620071142912,41.0337118525058,0.0478262757277116,0.242233225470409,0.0570540429302491,0.0258741965796798,17.5084377569146,0.121568412380293,0.11625803350471,81.9189426419325
"B","2010",1349.5851457098,582.773186037084,3934.26937045297,10.6760328006931,12.51320021227,33.6335356906056,11352.3969631642,346657.312661409,0.361701768962666,1.89860010845587,2.62603718740866,0.563511233124882,0.668938491959125,4.31062800972722,15.9516988317482,0.045857645617798,2.36868307646364,52.7221163548529,7.29244452295825,229.047922994941,0.0479510215506889,0.221608794108033,0.15420787723735,0.012514841593802,17.9664067190606,0.25609601419419,0.114509755035397,57.7020116173662
"C","2010",1975.32468390325,1718.28117715311,1636.77074848674,9.29850752092898,13.9632281172089,34.9448880087584,10353.7767792586,304410.610022023,0.556853524688631,3.0632963757962,2.40978152386378,0.30630073514767,0.392839657468721,5.07902664341964,29.7414053268731,0.0208271151641384,1.79337327380199,86.5645760670304,10.7860033237375,169.60569107905,0.0956515554478392,0.13152496595867,0.197556417977903,0.0379610098619014,18.4978201834019,0.198605100344867,0.213398252241313,29.8515711235814
"D","2010",638.492207126925,1319.59168547182,1831.60866015824,8.59281240077689,15.882724019466,41.0741836111993,9099.82601902448,305934.94460918,0.239968365011737,3.45374533603899,1.40115810395218,0.518996358779259,0.36475786967203,4.71837857039645,4.73676509154029,0.00439479247434065,1.05487881239969,47.4723813682795,2.90909418603405,136.730192750692,0.0618043599021621,0.178847476141527,0.100605977415107,0.043303697379306,14.359333954053,0.286830240441486,0.223489347880241,55.231436919421
"E","2010",1087.58948064735,1311.28251641989,2980.34215216758,13.4331981455907,8.49726860062219,26.5204140543938,7204.77804285474,297465.925174765,0.752768387878314,3.58874518494122,2.77347528445534,0.291942812083289,0.670473563065752,5.04205725644715,35.893463204382,0.000410202913917601,2.3321869452484,69.2831078544259,3.41282636811957,206.201747758314,0.0374767930968665,0.139975158544257,0.102776931943372,0.0133880401402712,12.2285251878202,0.169582670461386,0.164537414605729,73.7148737208918
"F","2010",1818.41302340338,1428.76874574693,667.165732069407,10.9133398751728,12.1004507725593,16.6233044303954,4265.39590884931,313914.829178248,0.244333830056712,2.87154432781972,2.89228115417063,0.317506178561598,0.256415819050744,4.23262417758815,1.950638839975,0.0314412269741297,1.24755888432264,25.8523605950177,5.01234536897391,44.6269464865327,0.0458597255079076,0.241968368925154,0.196173699367791,0.0257351861987263,10.2827749750577,0.148366607958451,0.241410889860708,74.0305668720976
"G","2010",1496.86628857721,1427.10463879514,153.770047333091,3.73875649552792,8.11437268159352,36.6090002097189,5865.45894667506,284901.789063588,0.235001295711845,2.10800010128878,2.32399975135922,0.408573283976875,0.622511205310002,6.97674705763347,11.6668380862102,0.0469396641710773,1.78469667863101,21.9720492139459,3.11596947093494,286.699240542948,0.0789896498434246,0.184449640987441,0.1966396775865,0.0429064002633095,12.4322993890382,0.277341807261109,0.166243872058112,95.3501790086739
"H","2010",1203.40532897855,1386.06398544274,928.979010076728,8.95701089361683,14.8716267081909,34.1486242506653,3278.76969636418,254976.44856805,0.788931291876361,1.55027091503143,1.02783652790822,0.428504501050338,0.359535971097648,4.34775076806545,18.602005146211,0.0218401686288416,2.47170811879914,90.4146974906325,2.64273782144301,162.079943390563,0.0543901282618754,0.116648270748556,0.134378822310828,0.0153440218791366,9.25365756032988,0.288247013511136,0.106497918057721,23.1125113135204
"I","2010",304.839022354223,339.339524931274,231.730943941511,5.1865184684284,7.03321974142455,17.8464750666171,1409.81927420944,255455.422785599,0.755100896209479,1.75264974380843,0.728281358140521,0.476663258671761,0.277275661984459,4.4189623487182,4.84717529546469,0.0387649510754272,0.637166351778433,29.1914381273091,5.53570014261641,114.247137382627,0.0538923326157965,0.194292725296691,0.0367216793610714,0.0209318109601736,15.8995947719086,0.10682044220157,0.112465308338869,39.9611546075903
"J","2010",1316.77338154218,1519.76762877312,3734.34773236513,13.6529480107129,6.0512384166941,37.7979398705065,8431.04831525125,380388.056789525,0.384390543866903,3.36296518263407,1.48936431400944,0.678115674457513,0.347426170250401,6.46310146152973,2.01746782381088,0.0238898205454461,0.534271412296221,98.406361117959,3.63571334071457,20.2208753954619,0.0853438836056739,0.200087423250079,0.150917045376264,0.0411584608256817,8.95875359303318,0.211942283110693,0.221015143231489,62.9533013841137
"K","2010",1307.10614300077,423.213242515922,2540.32320836559,12.8035332690924,9.53408031607978,41.6639704070985,7100.29508802108,451472.907152493,0.765315004205331,2.21150729944929,1.28109942609444,0.209821357321925,0.314628301141784,4.2848171305377,10.018569334643,0.00090651836944744,2.22441717877518,25.2610490471125,6.6166057374794,219.893563343212,0.0739595384546556,0.259096627403051,0.186068913422059,0.0446952318493277,12.5540209119208,0.278897658037022,0.190393484896049,76.2871224549599
"L","2010",1219.49535455625,1334.05535884551,1288.91490981914,7.38845540769398,6.53944472782314,38.3940519019961,1950.04646736197,388260.920380708,0.444897656748071,2.5906761654187,1.51063428330235,0.203265644423664,0.33841751026921,4.22111930302344,9.86063898960128,0.0403754233149812,1.50914545939304,93.3066653274,7.05968121928163,55.3406928386539,0.0562448372365907,0.166414218535647,0.0986880634212867,0.0354484994709492,13.7891077273525,0.114692126912996,0.123107151174918,70.6966850440949
"M","2010",587.444323044503,2248.38733276119,3577.74853244191,14.6395428474061,17.4979050992988,44.1797674819827,3865.83456234075,341683.380259201,0.652820698730648,1.40772340679541,0.651768736541271,0.699613022082485,0.337448899913579,5.82977070356719,6.8936308408156,0.0476613602251746,1.53054852515925,86.4811488799751,10.359601045493,245.39914608933,0.0934440395981073,0.271446196036413,0.086751087079756,0.028247389877215,15.2127249748446,0.280102336732671,0.107366034737788,53.8032788666897
"N","2010",1021.19786736579,336.741804181365,3706.55459143454,4.85564943449572,17.828142514918,47.8611158207059,3390.20584383979,477099.288429599,0.681427977792919,2.86224342999049,2.19503860524856,0.318628307012841,0.219995716772974,5.9461308021564,34.4014365617186,0.0374073358834721,2.54087163263466,26.0276558063924,9.32320413016714,140.070898644626,0.0373970086080953,0.289597386401147,0.170746749870013,0.0191902512218803,13.0906918935943,0.177588406624272,0.148206803458743,50.1465907739475
"O","2010",1112.87282736017,838.60774362809,1382.62773361057,12.0377371646464,12.8622699901462,40.3598184790462,3525.32927459106,326169.260463212,0.378953951504082,1.79622911359183,2.28999758907594,0.261126283602789,0.514062915882096,5.71883402671665,32.5286743189208,0.00805322523228824,2.18619630567264,71.9499887898564,7.43778445222415,46.1917616426945,0.0858896174421534,0.225500644696876,0.0622502977075055,0.0398271026648581,19.3088635697495,0.138619423657656,0.239935074409004,28.1221192120574
"P","2010",926.127828789409,670.092983216746,2476.95383322425,1.32288914592937,12.7400516404305,36.3073764089495,3149.63776664808,297140.856005717,0.543816952314228,2.36431443179026,1.01043189363554,0.612311861175112,0.572562704328448,4.89456940209493,25.5461613796651,0.0294525576522574,2.08727255242411,22.8604673780501,3.50597768905573,219.673335896805,0.0557430513808504,0.166871036076918,0.0611798077891581,0.0231024032179266,16.9716778711881,0.182207380048931,0.237418557144701,81.4903734391555
"Q","2010",968.847879223293,2174.50997148058,2175.353983487,13.4325107843615,14.1956321580801,31.6224060766399,9190.10962522589,373901.757900603,0.245321440231055,1.40389858442359,2.85407847969327,0.458432838716544,0.785723933996633,5.17098150937818,14.4297496811487,0.0232614315231331,2.16360553179402,72.5755139067769,2.91680431016721,59.2919750325382,0.0653208258398809,0.150797569332644,0.0325974548049271,0.0237379233911633,6.73727878951468,0.156355029158294,0.134418239840306,75.802930041682
"R","2010",1677.17089295317,1336.68221940752,2039.31601997465,1.08523258380592,6.3829636760056,45.4820803459734,10784.8055800423,123736.761522014,0.736981615703553,1.35768786491826,1.82852806360461,0.654003774211742,0.797250809660182,4.22318577812985,34.422770423349,0.0216570225195028,2.59762481797952,53.7706625834107,9.27043269365095,134.853921672329,0.0482392498780973,0.219949029618874,0.0783252005511895,0.0129305649455637,12.50192887499,0.209928803239018,0.162070513493381,60.455954594072
"S","2010",487.966202246491,1672.7799588081,652.661896671634,12.2673563323915,19.6730410470627,19.0109383780509,6100.01248540357,492710.749048274,0.45314660561271,1.19030691008084,1.46924885991029,0.276852617436089,0.213968096859753,6.23417178238742,17.4391995058395,0.0151946655591019,1.06450571748428,50.2839179709554,9.53844768926501,223.332931688055,0.0330301607772708,0.213418080518022,0.19007933780551,0.0457666875235736,19.58015091368,0.240104205114767,0.159920285502449,96.3455013232306
